Year,Area,Sex,Age,Value,Flags
"2013","Timaru District","Total people, sex","107 years",0,
"2013","Timaru District","Total people, sex","108 years",0,
"2013","Timaru District","Total people, sex","109 years",0,
"2013","Timaru District","Total people, sex","110 years",0,
"2013","Timaru District","Total people, sex","111 years",0,
"2013","Timaru District","Total people, sex","112 years",0,
"2013","Timaru District","Total people, sex","113 years",0,
"2013","Timaru District","Total people, sex","114 years",0,
"2013","Timaru District","Total people, sex","115 years",0,
"2013","Timaru District","Total people, sex","116 years",0,
"2013","Timaru District","Total people, sex","117 years",0,
"2013","Timaru District","Total people, sex","118 years",0,
"2013","Timaru District","Total people, sex","119 years",0,
"2013","Timaru District","Total people, sex","120 years and over",0,
