Year,Sex,Age,Area,Value,Flags
"2013","Male","10-14 years","Parkside",81,
"2013","Male","5-9 years","Redruth",,c
"2013","Male","0-4 years","Fraser Park",93,
"2013","Male","0-4 years","Geraldine",66,
"2013","Male","55-59 years","Washdyke",39,
"2013","Male","10-14 years","Pleasant Point",51,
"2013","Male","55-59 years","Inlet-Port Timaru",,c
"2013","Female","100 years and over","Watlington",3,
"2013","Male","20-24 years","Maori Park",33,
"2013","Male","5-9 years","Temuka",120,
"2013","Male","70-74 years","Geraldine",75,
"2013","Male","75-79 years","Ben Mcleod",,c
"2013","Male","95-99 years","Otipua Creek-Washdyke Flat",0,
"2013","Female","65-69 years","Redruth",,c
"2013","Male","75-79 years","Maori Park",27,
"2013","Female","60-64 years","Fraser Park",81,
"2013","Female","40-44 years","Glenwood",60,
"2013","Male","45-49 years","Highfield",108,
"2013","Male","5-9 years","Ben Mcleod",,c
"2013","Male","55-59 years","Orari",192,
"2013","Female","50-54 years","Timaru Gardens",63,
"2013","Female","30-34 years","Otipua Creek-Washdyke Flat",9,
"2013","Male","60-64 years","Glenwood",48,
"2013","Female","50-54 years","Waimataitai",45,
"2013","Female","55-59 years","Gleniti",84,
"2013","Female","70-74 years","Fairview-Scarborough",12,
"2013","Female","95-99 years","Highfield",9,
"2013","Female","90-94 years","Winchester",,c
"2013","Female","5-9 years","Levels",120,
"2013","Male","40-44 years","Gleniti",75,
"2013","Female","40-44 years","Otipua Creek-Washdyke Flat",33,
"2013","Female","10-14 years","Watlington",63,
"2013","Female","75-79 years","Levels",33,
"2013","Male","45-49 years","Orari",156,
"2013","Male","60-64 years","Otipua Creek-Washdyke Flat",27,
"2013","Male","30-34 years","Ben Mcleod",6,
"2013","Male","25-29 years","Seaview",102,
"2013","Female","10-14 years","Pareora",24,
"2013","Female","40-44 years","Levels",153,
"2013","Male","30-34 years","Maori Park",24,
"2013","Male","95-99 years","Glenwood",3,
"2013","Female","5-9 years","Otipua Creek-Washdyke Flat",15,
"2013","Male","80-84 years","Timaru Gardens",9,
"2013","Male","90-94 years","Waimataitai",0,
"2013","Female","25-29 years","Parkside",66,
"2013","Male","5-9 years","Marchwiel",129,
"2013","Male","95-99 years","Pareora",,c
"2013","Female","45-49 years","Maori Park",27,
"2013","Female","45-49 years","Ben Mcleod",,c
"2013","Male","80-84 years","Waimataitai",24,
"2013","Female","15-19 years","Highfield",150,
"2013","Male","100 years and over","Fraser Park",0,
"2013","Male","70-74 years","Seaview",54,
"2013","Female","25-29 years","Fairview-Scarborough",9,
"2013","Female","75-79 years","Otipua Creek-Washdyke Flat",15,
"2013","Female","65-69 years","Temuka",126,
"2013","Male","20-24 years","Washdyke",24,
"2013","Female","65-69 years","Levels",117,
"2013","Male","60-64 years","Ben Mcleod",,c
"2013","Female","65-69 years","Marchwiel",105,
"2013","Female","50-54 years","Levels",198,
"2013","Female","45-49 years","Washdyke",27,
"2013","Male","65-69 years","Pleasant Point",33,
"2013","Female","10-14 years","Gleniti",93,
"2013","Female","85-89 years","Otipua Creek-Washdyke Flat",3,
"2013","Female","70-74 years","Pleasant Point",36,
"2013","Male","100 years and over","Inlet-Port Timaru",,c
"2013","Male","40-44 years","Watlington",84,
"2013","Male","40-44 years","Redruth",,c
"2013","Male","100 years and over","Parkside",0,
"2013","Female","25-29 years","Orari",105,
"2013","Female","0-4 years","Pleasant Point",36,
"2013","Female","55-59 years","Temuka",129,
"2013","Female","50-54 years","Geraldine",105,
"2013","Female","70-74 years","Orari",93,
"2013","Female","90-94 years","Ben Mcleod",,c
"2013","Female","55-59 years","Redruth",,c
"2013","Male","85-89 years","Watlington",18,
"2013","Male","35-39 years","Levels",87,
"2013","Female","95-99 years","Pleasant Point",0,
"2013","Female","100 years and over","Gleniti",0,
"2013","Male","45-49 years","Fairview-Scarborough",24,
"2013","Female","20-24 years","Watlington",60,
"2013","Male","0-4 years","Highfield",96,
"2013","Male","50-54 years","Glenwood",45,
"2013","Male","0-4 years","Waimataitai",33,
"2013","Male","15-19 years","Temuka",126,
"2013","Male","70-74 years","Waimataitai",36,
"2013","Male","50-54 years","Pareora",15,
"2013","Male","30-34 years","Winchester",,c
"2013","Male","50-54 years","Marchwiel",108,
"2013","Male","15-19 years","Seaview",90,
"2013","Female","55-59 years","Watlington",87,
"2013","Male","10-14 years","Fraser Park",150,
"2013","Female","0-4 years","Gleniti",42,
"2013","Male","85-89 years","Temuka",27,
"2013","Female","85-89 years","Glenwood",39,
"2013","Female","40-44 years","Timaru Gardens",45,
"2013","Male","90-94 years","Fraser Park",3,
"2013","Female","35-39 years","Pleasant Point",48,
"2013","Female","20-24 years","Redruth",,c
"2013","Female","15-19 years","Fairview-Scarborough",18,
"2013","Male","35-39 years","Geraldine",51,
"2013","Male","95-99 years","Temuka",3,
"2013","Female","25-29 years","Pleasant Point",33,
"2013","Male","20-24 years","Inlet-Port Timaru",,c
"2013","Male","40-44 years","Temuka",126,
"2013","Male","65-69 years","Gleniti",75,
"2013","Female","60-64 years","Highfield",117,
"2013","Male","80-84 years","Geraldine",48,
"2013","Male","100 years and over","Washdyke",0,
"2013","Female","5-9 years","Timaru Gardens",30,
"2013","Female","35-39 years","Orari",138,
"2013","Female","45-49 years","Otipua Creek-Washdyke Flat",24,
"2013","Female","20-24 years","Temuka",108,
"2013","Female","5-9 years","Maori Park",18,
"2013","Female","70-74 years","Gleniti",66,
"2013","Female","45-49 years","Highfield",144,
"2013","Female","65-69 years","Fairview-Scarborough",21,
"2013","Male","35-39 years","Waimataitai",33,
"2013","Male","35-39 years","Highfield",69,
"2013","Male","30-34 years","Washdyke",21,
"2013","Female","35-39 years","Temuka",108,
"2013","Female","85-89 years","Waimataitai",9,
"2013","Male","85-89 years","Redruth",,c
"2013","Male","20-24 years","Timaru Gardens",60,
"2013","Female","40-44 years","Orari",168,
"2013","Female","35-39 years","Marchwiel",117,
"2013","Male","30-34 years","Otipua Creek-Washdyke Flat",9,
"2013","Female","70-74 years","Temuka",114,
"2013","Male","100 years and over","Otipua Creek-Washdyke Flat",0,
"2013","Male","40-44 years","Highfield",84,
"2013","Female","65-69 years","Inlet-Port Timaru",,c
"2013","Male","40-44 years","Inlet-Port Timaru",9,
"2013","Male","30-34 years","Fairview-Scarborough",3,
"2013","Female","15-19 years","Glenwood",48,
"2013","Female","85-89 years","Pareora",,c
"2013","Female","75-79 years","Fraser Park",60,
"2013","Female","5-9 years","Ben Mcleod",,c
"2013","Male","5-9 years","Inlet-Port Timaru",,c
"2013","Female","80-84 years","Marchwiel",75,
"2013","Female","40-44 years","Gleniti",90,
"2013","Female","95-99 years","Gleniti",9,
"2013","Male","100 years and over","Fairview-Scarborough",0,
"2013","Female","20-24 years","Geraldine",42,
"2013","Male","75-79 years","Inlet-Port Timaru",,c
"2013","Male","85-89 years","Highfield",33,
"2013","Male","20-24 years","Fairview-Scarborough",9,
"2013","Male","0-4 years","Watlington",99,
"2013","Male","60-64 years","Maori Park",45,
"2013","Male","75-79 years","Otipua Creek-Washdyke Flat",12,
"2013","Male","0-4 years","Glenwood",57,
"2013","Male","40-44 years","Washdyke",27,
"2013","Female","40-44 years","Maori Park",27,
"2013","Female","85-89 years","Gleniti",63,
"2013","Male","90-94 years","Maori Park",0,
"2013","Male","10-14 years","Watlington",66,
"2013","Male","60-64 years","Temuka",135,
"2013","Male","5-9 years","Otipua Creek-Washdyke Flat",21,
"2013","Female","90-94 years","Timaru Gardens",3,
"2013","Male","95-99 years","Fraser Park",0,
"2013","Female","90-94 years","Marchwiel",27,
"2013","Female","70-74 years","Marchwiel",111,
"2013","Male","50-54 years","Otipua Creek-Washdyke Flat",27,
"2013","Female","90-94 years","Waimataitai",3,
"2013","Male","20-24 years","Glenwood",24,
"2013","Female","95-99 years","Parkside",0,
"2013","Female","25-29 years","Washdyke",15,
"2013","Female","35-39 years","Ben Mcleod",,c
"2013","Female","60-64 years","Winchester",12,
"2013","Female","65-69 years","Otipua Creek-Washdyke Flat",30,
"2013","Female","15-19 years","Gleniti",81,
"2013","Male","35-39 years","Watlington",57,
"2013","Male","65-69 years","Seaview",39,
"2013","Female","30-34 years","Redruth",,c
"2013","Female","90-94 years","Parkside",9,
"2013","Female","20-24 years","Orari",102,
"2013","Female","60-64 years","Otipua Creek-Washdyke Flat",24,
"2013","Male","45-49 years","Pleasant Point",33,
"2013","Male","20-24 years","Winchester",9,
"2013","Female","55-59 years","Highfield",114,
"2013","Female","25-29 years","Seaview",72,
"2013","Male","40-44 years","Levels",141,
"2013","Female","40-44 years","Ben Mcleod",6,
"2013","Female","45-49 years","Levels",168,
"2013","Male","0-4 years","Levels",102,
"2013","Female","95-99 years","Glenwood",9,
"2013","Male","40-44 years","Seaview",57,
"2013","Female","100 years and over","Maori Park",0,
"2013","Male","5-9 years","Glenwood",63,
"2013","Male","55-59 years","Gleniti",72,
"2013","Female","30-34 years","Maori Park",21,
"2013","Female","0-4 years","Seaview",60,
"2013","Female","50-54 years","Watlington",66,
"2013","Female","80-84 years","Seaview",57,
"2013","Female","70-74 years","Seaview",63,
"2013","Male","0-4 years","Otipua Creek-Washdyke Flat",15,
"2013","Female","20-24 years","Inlet-Port Timaru",,c
"2013","Male","75-79 years","Glenwood",48,
"2013","Female","60-64 years","Levels",153,
"2013","Male","25-29 years","Fairview-Scarborough",6,
"2013","Female","65-69 years","Washdyke",30,
"2013","Male","65-69 years","Marchwiel",99,
"2013","Female","40-44 years","Redruth",,c
"2013","Female","30-34 years","Ben Mcleod",6,
"2013","Female","40-44 years","Temuka",129,
"2013","Female","20-24 years","Washdyke",15,
"2013","Female","60-64 years","Timaru Gardens",54,
"2013","Female","45-49 years","Fraser Park",96,
"2013","Male","70-74 years","Parkside",42,
"2013","Female","85-89 years","Parkside",30,
"2013","Male","20-24 years","Otipua Creek-Washdyke Flat",9,
"2013","Male","50-54 years","Parkside",81,
"2013","Male","70-74 years","Highfield",75,
"2013","Male","85-89 years","Orari",15,
"2013","Male","50-54 years","Gleniti",87,
"2013","Female","90-94 years","Otipua Creek-Washdyke Flat",0,
"2013","Female","90-94 years","Pleasant Point",3,
"2013","Female","75-79 years","Gleniti",69,
"2013","Male","15-19 years","Highfield",84,
"2013","Female","10-14 years","Pleasant Point",51,
"2013","Female","5-9 years","Fraser Park",93,
"2013","Female","55-59 years","Maori Park",45,
"2013","Female","15-19 years","Parkside",93,
"2013","Male","60-64 years","Redruth",,c
"2013","Male","20-24 years","Waimataitai",39,
"2013","Male","50-54 years","Pleasant Point",54,
"2013","Female","100 years and over","Geraldine",0,
"2013","Female","75-79 years","Geraldine",66,
"2013","Male","15-19 years","Inlet-Port Timaru",,c
"2013","Male","65-69 years","Temuka",132,
"2013","Male","70-74 years","Watlington",48,
"2013","Male","95-99 years","Watlington",0,
"2013","Male","75-79 years","Highfield",66,
"2013","Female","85-89 years","Pleasant Point",9,
"2013","Female","0-4 years","Fraser Park",72,
"2013","Male","0-4 years","Washdyke",21,
"2013","Female","50-54 years","Fraser Park",105,
"2013","Female","95-99 years","Otipua Creek-Washdyke Flat",0,
"2013","Female","15-19 years","Otipua Creek-Washdyke Flat",6,
"2013","Male","45-49 years","Glenwood",60,
"2013","Male","65-69 years","Orari",171,
"2013","Female","60-64 years","Inlet-Port Timaru",,c
"2013","Female","45-49 years","Inlet-Port Timaru",,c
"2013","Female","80-84 years","Gleniti",60,
"2013","Male","45-49 years","Gleniti",75,
"2013","Female","20-24 years","Seaview",93,
"2013","Female","40-44 years","Marchwiel",114,
"2013","Male","70-74 years","Pareora",9,
"2013","Female","60-64 years","Glenwood",69,
"2013","Female","25-29 years","Ben Mcleod",6,
"2013","Male","65-69 years","Ben Mcleod",,c
"2013","Female","30-34 years","Timaru Gardens",51,
"2013","Female","70-74 years","Geraldine",108,
"2013","Female","45-49 years","Glenwood",69,
"2013","Male","100 years and over","Levels",0,
"2013","Male","65-69 years","Redruth",,c
"2013","Female","100 years and over","Fraser Park",0,
"2013","Male","15-19 years","Orari",132,
"2013","Female","20-24 years","Levels",60,
"2013","Male","95-99 years","Gleniti",3,
"2013","Female","45-49 years","Pareora",18,
"2013","Male","5-9 years","Levels",123,
"2013","Female","100 years and over","Timaru Gardens",0,
"2013","Female","40-44 years","Fairview-Scarborough",21,
"2013","Female","90-94 years","Glenwood",12,
