Year,Sex,Age,Area,Value,Flags
"2013","Female","60-64 years","Watlington",69,
"2013","Male","45-49 years","Temuka",135,
"2013","Female","20-24 years","Otipua Creek-Washdyke Flat",15,
"2013","Male","35-39 years","Inlet-Port Timaru",9,
"2013","Male","5-9 years","Fairview-Scarborough",9,
"2013","Male","85-89 years","Fairview-Scarborough",3,
"2013","Male","70-74 years","Gleniti",66,
"2013","Male","95-99 years","Inlet-Port Timaru",,c
"2013","Male","15-19 years","Ben Mcleod",6,
"2013","Male","60-64 years","Waimataitai",57,
"2013","Male","0-4 years","Gleniti",48,
"2013","Male","25-29 years","Highfield",60,
"2013","Male","15-19 years","Fairview-Scarborough",30,
"2013","Male","10-14 years","Glenwood",66,
"2013","Female","85-89 years","Temuka",39,
"2013","Female","75-79 years","Winchester",6,
"2013","Female","45-49 years","Fairview-Scarborough",30,
"2013","Female","5-9 years","Orari",147,
"2013","Male","90-94 years","Marchwiel",12,
"2013","Female","30-34 years","Gleniti",42,
"2013","Female","50-54 years","Redruth",,c
"2013","Male","85-89 years","Seaview",15,
"2013","Male","20-24 years","Watlington",60,
"2013","Male","55-59 years","Seaview",90,
"2013","Male","10-14 years","Pareora",15,
"2013","Male","25-29 years","Parkside",63,
"2013","Female","40-44 years","Pareora",18,
"2013","Male","10-14 years","Marchwiel",102,
"2013","Female","100 years and over","Highfield",0,
"2013","Female","30-34 years","Highfield",69,
"2013","Female","5-9 years","Pleasant Point",48,
"2013","Male","90-94 years","Winchester",,c
"2013","Female","90-94 years","Seaview",12,
"2013","Female","100 years and over","Orari",0,
"2013","Male","40-44 years","Glenwood",51,
"2013","Female","95-99 years","Watlington",3,
"2013","Female","5-9 years","Winchester",9,
"2013","Male","50-54 years","Fraser Park",111,
"2013","Female","40-44 years","Washdyke",30,
"2013","Male","0-4 years","Orari",174,
"2013","Male","50-54 years","Geraldine",81,
"2013","Male","50-54 years","Levels",183,
"2013","Female","65-69 years","Pleasant Point",36,
"2013","Female","55-59 years","Fairview-Scarborough",21,
"2013","Male","90-94 years","Seaview",6,
"2013","Female","65-69 years","Waimataitai",42,
"2013","Male","5-9 years","Geraldine",69,
"2013","Male","30-34 years","Inlet-Port Timaru",,c
"2013","Male","55-59 years","Temuka",129,
"2013","Female","10-14 years","Geraldine",51,
"2013","Female","50-54 years","Parkside",90,
"2013","Male","25-29 years","Gleniti",27,
"2013","Male","40-44 years","Fairview-Scarborough",21,
"2013","Female","80-84 years","Geraldine",60,
"2013","Female","10-14 years","Orari",168,
"2013","Male","30-34 years","Parkside",60,
"2013","Female","75-79 years","Pareora",,c
"2013","Female","25-29 years","Gleniti",24,
"2013","Female","35-39 years","Gleniti",69,
"2013","Male","20-24 years","Highfield",42,
"2013","Female","80-84 years","Orari",39,
"2013","Male","15-19 years","Gleniti",63,
"2013","Male","5-9 years","Gleniti",63,
"2013","Female","0-4 years","Orari",144,
"2013","Male","90-94 years","Levels",0,
"2013","Male","25-29 years","Redruth",,c
"2013","Female","25-29 years","Watlington",78,
"2013","Female","10-14 years","Otipua Creek-Washdyke Flat",24,
"2013","Male","75-79 years","Seaview",45,
"2013","Female","100 years and over","Pleasant Point",0,
"2013","Female","75-79 years","Timaru Gardens",24,
"2013","Male","15-19 years","Geraldine",66,
"2013","Male","60-64 years","Gleniti",90,
"2013","Male","100 years and over","Temuka",0,
"2013","Female","55-59 years","Pleasant Point",45,
"2013","Female","5-9 years","Glenwood",45,
"2013","Female","25-29 years","Otipua Creek-Washdyke Flat",6,
"2013","Female","100 years and over","Glenwood",0,
"2013","Female","45-49 years","Pleasant Point",42,
"2013","Female","25-29 years","Timaru Gardens",54,
"2013","Male","40-44 years","Timaru Gardens",51,
"2013","Male","20-24 years","Redruth",,c
"2013","Male","30-34 years","Marchwiel",114,
"2013","Female","25-29 years","Levels",51,
"2013","Male","85-89 years","Waimataitai",9,
"2013","Male","35-39 years","Ben Mcleod",,c
"2013","Female","35-39 years","Levels",111,
"2013","Female","0-4 years","Otipua Creek-Washdyke Flat",18,
"2013","Female","20-24 years","Fairview-Scarborough",12,
"2013","Female","65-69 years","Ben Mcleod",,c
"2013","Male","90-94 years","Pleasant Point",3,
"2013","Male","80-84 years","Parkside",36,
"2013","Female","70-74 years","Otipua Creek-Washdyke Flat",21,
"2013","Male","5-9 years","Maori Park",27,
"2013","Female","0-4 years","Pareora",9,
"2013","Male","60-64 years","Fairview-Scarborough",18,
"2013","Male","50-54 years","Highfield",117,
"2013","Female","25-29 years","Waimataitai",33,
"2013","Male","15-19 years","Levels",132,
"2013","Male","30-34 years","Temuka",81,
"2013","Male","80-84 years","Pleasant Point",15,
"2013","Female","75-79 years","Watlington",45,
"2013","Female","20-24 years","Parkside",96,
"2013","Female","70-74 years","Pareora",9,
"2013","Male","70-74 years","Fraser Park",51,
"2013","Female","60-64 years","Marchwiel",120,
"2013","Male","20-24 years","Ben Mcleod",12,
"2013","Male","65-69 years","Otipua Creek-Washdyke Flat",27,
"2013","Male","25-29 years","Waimataitai",33,
"2013","Male","50-54 years","Ben Mcleod",,c
"2013","Male","85-89 years","Levels",9,
"2013","Male","35-39 years","Maori Park",30,
"2013","Female","80-84 years","Fairview-Scarborough",6,
"2013","Female","30-34 years","Fairview-Scarborough",6,
"2013","Male","85-89 years","Geraldine",27,
"2013","Female","10-14 years","Fairview-Scarborough",27,
"2013","Male","40-44 years","Maori Park",27,
"2013","Female","55-59 years","Seaview",78,
"2013","Female","90-94 years","Fairview-Scarborough",0,
"2013","Male","55-59 years","Winchester",9,
"2013","Male","90-94 years","Gleniti",6,
"2013","Female","100 years and over","Fairview-Scarborough",0,
"2013","Female","65-69 years","Maori Park",42,
"2013","Male","35-39 years","Redruth",,c
"2013","Female","85-89 years","Inlet-Port Timaru",,c
"2013","Male","65-69 years","Fairview-Scarborough",30,
"2013","Male","85-89 years","Pleasant Point",3,
"2013","Female","80-84 years","Watlington",36,
"2013","Male","5-9 years","Seaview",48,
"2013","Male","25-29 years","Marchwiel",84,
"2013","Female","75-79 years","Fairview-Scarborough",6,
"2013","Female","60-64 years","Washdyke",51,
"2013","Female","35-39 years","Otipua Creek-Washdyke Flat",21,
"2013","Female","45-49 years","Marchwiel",129,
"2013","Female","0-4 years","Glenwood",45,
"2013","Male","25-29 years","Ben Mcleod",,c
"2013","Female","10-14 years","Levels",144,
"2013","Female","30-34 years","Levels",60,
"2013","Male","35-39 years","Gleniti",42,
"2013","Female","15-19 years","Watlington",78,
"2013","Male","45-49 years","Washdyke",30,
"2013","Female","50-54 years","Seaview",84,
"2013","Male","100 years and over","Marchwiel",0,
"2013","Female","80-84 years","Levels",15,
"2013","Male","15-19 years","Waimataitai",33,
"2013","Female","70-74 years","Glenwood",45,
"2013","Female","5-9 years","Watlington",63,
"2013","Male","0-4 years","Marchwiel",144,
"2013","Female","35-39 years","Watlington",78,
"2013","Male","40-44 years","Waimataitai",36,
"2013","Male","65-69 years","Glenwood",42,
"2013","Female","45-49 years","Temuka",156,
"2013","Male","100 years and over","Seaview",0,
"2013","Female","65-69 years","Seaview",75,
"2013","Female","5-9 years","Fairview-Scarborough",12,
"2013","Female","30-34 years","Pareora",12,
"2013","Female","95-99 years","Orari",3,
"2013","Male","85-89 years","Parkside",9,
"2013","Female","45-49 years","Seaview",93,
"2013","Female","80-84 years","Otipua Creek-Washdyke Flat",9,
"2013","Female","5-9 years","Pareora",18,
"2013","Female","95-99 years","Inlet-Port Timaru",,c
"2013","Male","85-89 years","Timaru Gardens",15,
"2013","Male","35-39 years","Marchwiel",93,
"2013","Male","70-74 years","Marchwiel",93,
"2013","Female","15-19 years","Inlet-Port Timaru",,c
"2013","Male","15-19 years","Timaru Gardens",54,
"2013","Female","100 years and over","Levels",0,
"2013","Male","60-64 years","Watlington",66,
"2013","Male","25-29 years","Fraser Park",78,
"2013","Male","40-44 years","Pleasant Point",42,
"2013","Male","35-39 years","Seaview",78,
"2013","Male","0-4 years","Maori Park",21,
"2013","Female","55-59 years","Timaru Gardens",51,
"2013","Male","65-69 years","Pareora",12,
"2013","Male","25-29 years","Temuka",90,
"2013","Male","75-79 years","Pleasant Point",27,
"2013","Female","70-74 years","Watlington",54,
"2013","Female","55-59 years","Waimataitai",54,
"2013","Female","100 years and over","Otipua Creek-Washdyke Flat",0,
"2013","Female","85-89 years","Washdyke",3,
"2013","Female","90-94 years","Highfield",45,
"2013","Male","95-99 years","Levels",0,
"2013","Male","75-79 years","Redruth",,c
"2013","Male","30-34 years","Redruth",,c
"2013","Male","100 years and over","Ben Mcleod",,c
"2013","Female","50-54 years","Gleniti",93,
"2013","Male","30-34 years","Seaview",60,
"2013","Female","40-44 years","Winchester",9,
"2013","Female","20-24 years","Timaru Gardens",75,
"2013","Male","10-14 years","Gleniti",84,
"2013","Female","10-14 years","Glenwood",48,
"2013","Male","95-99 years","Timaru Gardens",0,
"2013","Male","0-4 years","Ben Mcleod",,c
"2013","Male","35-39 years","Temuka",108,
"2013","Female","50-54 years","Pleasant Point",57,
"2013","Male","100 years and over","Maori Park",0,
"2013","Female","60-64 years","Maori Park",45,
"2013","Male","45-49 years","Inlet-Port Timaru",,c
"2013","Male","95-99 years","Waimataitai",3,
"2013","Male","55-59 years","Highfield",105,
"2013","Male","50-54 years","Winchester",18,
"2013","Female","55-59 years","Parkside",66,
"2013","Female","20-24 years","Gleniti",33,
"2013","Female","20-24 years","Pleasant Point",27,
"2013","Female","65-69 years","Fraser Park",69,
"2013","Female","60-64 years","Redruth",,c
"2013","Female","15-19 years","Washdyke",27,
"2013","Female","30-34 years","Watlington",66,
"2013","Male","75-79 years","Temuka",84,
"2013","Female","15-19 years","Orari",117,
"2013","Male","70-74 years","Maori Park",33,
"2013","Female","85-89 years","Orari",21,
"2013","Male","35-39 years","Pleasant Point",30,
"2013","Male","50-54 years","Orari",225,
"2013","Female","35-39 years","Glenwood",48,
"2013","Male","45-49 years","Winchester",12,
"2013","Female","35-39 years","Fairview-Scarborough",18,
"2013","Male","5-9 years","Pleasant Point",39,
"2013","Male","15-19 years","Parkside",108,
"2013","Male","100 years and over","Redruth",,c
"2013","Female","0-4 years","Watlington",87,
"2013","Male","70-74 years","Redruth",,c
"2013","Male","0-4 years","Temuka",117,
"2013","Male","90-94 years","Timaru Gardens",0,
"2013","Male","25-29 years","Maori Park",39,
"2013","Male","15-19 years","Pleasant Point",33,
"2013","Male","70-74 years","Ben Mcleod",,c
"2013","Male","0-4 years","Redruth",,c
"2013","Female","15-19 years","Winchester",6,
"2013","Female","45-49 years","Redruth",6,
"2013","Female","20-24 years","Waimataitai",33,
"2013","Female","85-89 years","Winchester",,c
"2013","Female","100 years and over","Seaview",0,
"2013","Male","30-34 years","Geraldine",36,
"2013","Female","25-29 years","Pareora",12,
"2013","Female","80-84 years","Glenwood",36,
"2013","Male","65-69 years","Watlington",42,
"2013","Male","70-74 years","Temuka",111,
"2013","Male","20-24 years","Geraldine",51,
"2013","Female","0-4 years","Fairview-Scarborough",15,
"2013","Male","60-64 years","Pareora",12,
"2013","Male","50-54 years","Waimataitai",51,
"2013","Male","20-24 years","Fraser Park",75,
"2013","Male","20-24 years","Marchwiel",105,
"2013","Female","0-4 years","Levels",81,
"2013","Male","60-64 years","Geraldine",84,
"2013","Female","75-79 years","Redruth",,c
"2013","Male","95-99 years","Parkside",0,
"2013","Male","60-64 years","Fraser Park",75,
"2013","Female","50-54 years","Inlet-Port Timaru",,c
"2013","Male","80-84 years","Gleniti",42,
"2013","Male","50-54 years","Inlet-Port Timaru",,c
"2013","Female","5-9 years","Redruth",,c
"2013","Male","25-29 years","Watlington",75,
"2013","Female","75-79 years","Maori Park",21,
"2013","Female","65-69 years","Geraldine",87,
"2013","Female","90-94 years","Inlet-Port Timaru",,c
"2013","Male","50-54 years","Timaru Gardens",48,
"2013","Male","85-89 years","Winchester",,c
"2013","Male","80-84 years","Washdyke",6,
"2013","Female","15-19 years","Seaview",81,
"2013","Female","60-64 years","Ben Mcleod",,c
"2013","Female","95-99 years","Washdyke",3,
"2013","Male","10-14 years","Timaru Gardens",48,
"2013","Male","80-84 years","Seaview",39,
"2013","Male","95-99 years","Fairview-Scarborough",0,
"2013","Female","80-84 years","Temuka",84,
"2013","Male","10-14 years","Washdyke",24,
"2013","Male","0-4 years","Seaview",78,
"2013","Female","10-14 years","Temuka",129,
"2013","Female","75-79 years","Ben Mcleod",,c
"2013","Male","65-69 years","Levels",138,
"2013","Male","10-14 years","Seaview",60,
"2013","Male","80-84 years","Inlet-Port Timaru",,c
"2013","Male","40-44 years","Parkside",78,
"2013","Female","0-4 years","Marchwiel",117,
"2013","Male","10-14 years","Waimataitai",21,
"2013","Male","30-34 years","Glenwood",36,
"2013","Male","5-9 years","Winchester",12,
"2013","Female","10-14 years","Seaview",69,
"2013","Female","25-29 years","Glenwood",36,
"2013","Female","70-74 years","Levels",66,
"2013","Female","60-64 years","Geraldine",105,
"2013","Female","90-94 years","Orari",6,
"2013","Female","50-54 years","Washdyke",45,
"2013","Male","50-54 years","Washdyke",39,
"2013","Male","100 years and over","Geraldine",0,
"2013","Male","30-34 years","Pareora",9,
"2013","Male","75-79 years","Marchwiel",63,
"2013","Female","85-89 years","Highfield",81,
"2013","Female","35-39 years","Fraser Park",99,
"2013","Male","90-94 years","Redruth",,c
"2013","Female","50-54 years","Temuka",147,
"2013","Female","15-19 years","Pareora",12,
"2013","Male","30-34 years","Waimataitai",33,
"2013","Male","90-94 years","Washdyke",0,
"2013","Male","95-99 years","Pleasant Point",0,
"2013","Female","50-54 years","Orari",219,
"2013","Female","0-4 years","Temuka",108,
"2013","Male","80-84 years","Redruth",,c
"2013","Male","30-34 years","Fraser Park",69,
"2013","Male","20-24 years","Pareora",9,
"2013","Female","35-39 years","Geraldine",54,
"2013","Male","100 years and over","Pareora",,c
"2013","Female","35-39 years","Pareora",9,
"2013","Female","40-44 years","Watlington",90,
"2013","Female","20-24 years","Fraser Park",75,
"2013","Male","15-19 years","Winchester",12,
"2013","Male","90-94 years","Inlet-Port Timaru",,c
"2013","Female","10-14 years","Marchwiel",108,
"2013","Female","65-69 years","Parkside",84,
"2013","Male","5-9 years","Waimataitai",36,
"2013","Female","55-59 years","Washdyke",36,
"2013","Male","80-84 years","Watlington",27,
"2013","Male","10-14 years","Redruth",,c
"2013","Male","75-79 years","Waimataitai",21,
"2013","Male","95-99 years","Washdyke",0,
"2013","Male","80-84 years","Maori Park",12,
"2013","Female","25-29 years","Temuka",96,
"2013","Male","100 years and over","Watlington",0,
"2013","Female","30-34 years","Geraldine",54,
"2013","Male","25-29 years","Washdyke",12,
"2013","Male","55-59 years","Glenwood",54,
"2013","Male","85-89 years","Inlet-Port Timaru",,c
"2013","Female","15-19 years","Timaru Gardens",30,
"2013","Male","10-14 years","Winchester",,c
"2013","Female","5-9 years","Marchwiel",126,
"2013","Female","80-84 years","Redruth",,c
"2013","Male","25-29 years","Pareora",6,
"2013","Male","65-69 years","Timaru Gardens",39,
"2013","Male","95-99 years","Ben Mcleod",,c
"2013","Female","80-84 years","Ben Mcleod",,c
"2013","Female","0-4 years","Timaru Gardens",54,
"2013","Female","30-34 years","Orari",111,
"2013","Male","25-29 years","Inlet-Port Timaru",9,
"2013","Female","0-4 years","Ben Mcleod",6,
"2013","Female","75-79 years","Temuka",108,
"2013","Male","95-99 years","Maori Park",0,
"2013","Female","10-14 years","Timaru Gardens",42,
"2013","Female","45-49 years","Waimataitai",45,
"2013","Male","35-39 years","Otipua Creek-Washdyke Flat",18,
"2013","Female","55-59 years","Inlet-Port Timaru",,c
"2013","Male","65-69 years","Fraser Park",69,
"2013","Male","60-64 years","Pleasant Point",45,
"2013","Male","40-44 years","Fraser Park",81,
"2013","Female","80-84 years","Timaru Gardens",27,
"2013","Female","55-59 years","Geraldine",96,
"2013","Female","5-9 years","Temuka",108,
"2013","Female","70-74 years","Maori Park",33,
"2013","Female","75-79 years","Orari",51,
"2013","Female","95-99 years","Pareora",,c
"2013","Female","75-79 years","Pleasant Point",27,
"2013","Male","55-59 years","Timaru Gardens",63,
"2013","Male","70-74 years","Fairview-Scarborough",18,
"2013","Female","100 years and over","Marchwiel",0,
"2013","Male","55-59 years","Waimataitai",45,
"2013","Male","80-84 years","Orari",48,
"2013","Female","85-89 years","Ben Mcleod",,c
"2013","Male","45-49 years","Timaru Gardens",48,
"2013","Male","45-49 years","Seaview",84,
"2013","Female","25-29 years","Geraldine",39,
"2013","Female","55-59 years","Orari",189,
"2013","Male","90-94 years","Watlington",3,
"2013","Female","15-19 years","Ben Mcleod",,c
"2013","Female","50-54 years","Maori Park",60,
"2013","Female","70-74 years","Ben Mcleod",,c
"2013","Male","85-89 years","Washdyke",3,
"2013","Female","0-4 years","Redruth",,c
"2013","Female","60-64 years","Parkside",66,
"2013","Female","95-99 years","Winchester",,c
"2013","Female","35-39 years","Timaru Gardens",42,
"2013","Female","55-59 years","Fraser Park",81,
"2013","Female","95-99 years","Ben Mcleod",,c
"2013","Male","5-9 years","Parkside",72,
"2013","Male","5-9 years","Highfield",72,
"2013","Male","0-4 years","Winchester",,c
"2013","Male","5-9 years","Fraser Park",90,
"2013","Male","80-84 years","Temuka",75,
"2013","Male","45-49 years","Ben Mcleod",6,
"2013","Male","95-99 years","Orari",3,
"2013","Male","45-49 years","Marchwiel",132,
"2013","Female","25-29 years","Redruth",,c
"2013","Male","25-29 years","Winchester",,c
"2013","Male","45-49 years","Pareora",30,
"2013","Male","75-79 years","Geraldine",57,
"2013","Male","70-74 years","Winchester",,c
"2013","Male","50-54 years","Fairview-Scarborough",30,
"2013","Male","70-74 years","Washdyke",24,
"2013","Male","55-59 years","Marchwiel",102,
"2013","Male","10-14 years","Temuka",132,
"2013","Male","60-64 years","Orari",192,
"2013","Female","5-9 years","Gleniti",63,
"2013","Male","90-94 years","Temuka",9,
"2013","Male","15-19 years","Fraser Park",144,
"2013","Male","70-74 years","Inlet-Port Timaru",,c
"2013","Female","65-69 years","Highfield",108,
"2013","Male","55-59 years","Otipua Creek-Washdyke Flat",18,
"2013","Female","45-49 years","Geraldine",90,
"2013","Male","85-89 years","Fraser Park",15,
"2013","Male","40-44 years","Geraldine",72,
"2013","Female","30-34 years","Pleasant Point",24,
