Year,Area,Age of youngest dependent child in family,Value,Flags
"2013","Timaru District","Total couples with dependent children",3750,
"2013","Timaru District","0-4 years",1497,
"2013","Timaru District","5-9 years",864,
"2013","Timaru District","10-14 years",942,
"2013","Timaru District","15-17 years",447,
