Area,Year,Age group,Sex,Value,Flags
"Timaru District","2013","45 years","Male",282,
"Timaru District","2013","45 years","Female",339,
"Timaru District","2013","46 years","Male",297,
"Timaru District","2013","46 years","Female",315,
"Timaru District","2013","47 years","Male",315,
"Timaru District","2013","47 years","Female",327,
"Timaru District","2013","48 years","Male",273,
"Timaru District","2013","48 years","Female",360,
"Timaru District","2013","49 years","Male",330,
"Timaru District","2013","49 years","Female",351,
"Timaru District","2013","50 years","Male",333,
"Timaru District","2013","50 years","Female",363,
"Timaru District","2013","51 years","Male",342,
"Timaru District","2013","51 years","Female",384,
"Timaru District","2013","52 years","Male",342,
"Timaru District","2013","52 years","Female",342,
"Timaru District","2013","53 years","Male",327,
"Timaru District","2013","53 years","Female",339,
"Timaru District","2013","54 years","Male",330,
"Timaru District","2013","54 years","Female",336,
"Timaru District","2013","55 years","Male",309,
"Timaru District","2013","55 years","Female",336,
"Timaru District","2013","56 years","Male",303,
"Timaru District","2013","56 years","Female",318,
"Timaru District","2013","57 years","Male",300,
"Timaru District","2013","57 years","Female",309,
"Timaru District","2013","58 years","Male",324,
"Timaru District","2013","58 years","Female",294,
"Timaru District","2013","59 years","Male",300,
"Timaru District","2013","59 years","Female",303,
"Timaru District","2013","60 years","Male",303,
"Timaru District","2013","60 years","Female",321,
"Timaru District","2013","61 years","Male",321,
"Timaru District","2013","61 years","Female",312,
"Timaru District","2013","62 years","Male",309,
"Timaru District","2013","62 years","Female",300,
"Timaru District","2013","63 years","Male",300,
"Timaru District","2013","63 years","Female",309,
"Timaru District","2013","64 years","Male",288,
"Timaru District","2013","64 years","Female",312,
"Timaru District","2013","65 years","Male",288,
"Timaru District","2013","65 years","Female",312,
"Timaru District","2013","66 years","Male",300,
"Timaru District","2013","66 years","Female",312,
"Timaru District","2013","67 years","Male",225,
"Timaru District","2013","67 years","Female",249,
"Timaru District","2013","68 years","Male",222,
"Timaru District","2013","68 years","Female",234,
"Timaru District","2013","69 years","Male",222,
"Timaru District","2013","69 years","Female",231,
"Timaru District","2013","70 years","Male",219,
"Timaru District","2013","70 years","Female",213,
"Timaru District","2013","71 years","Male",234,
"Timaru District","2013","71 years","Female",258,
"Timaru District","2013","72 years","Male",219,
"Timaru District","2013","72 years","Female",243,
"Timaru District","2013","73 years","Male",180,
"Timaru District","2013","73 years","Female",222,
"Timaru District","2013","74 years","Male",183,
"Timaru District","2013","74 years","Female",207,
"Timaru District","2013","75 years","Male",150,
"Timaru District","2013","75 years","Female",192,
"Timaru District","2013","76 years","Male",147,
"Timaru District","2013","76 years","Female",210,
"Timaru District","2013","77 years","Male",156,
"Timaru District","2013","77 years","Female",186,
"Timaru District","2013","78 years","Male",159,
"Timaru District","2013","78 years","Female",159,
"Timaru District","2013","79 years","Male",129,
"Timaru District","2013","79 years","Female",180,
"Timaru District","2013","80 years","Male",138,
"Timaru District","2013","80 years","Female",147,
"Timaru District","2013","81 years","Male",132,
"Timaru District","2013","81 years","Female",165,
"Timaru District","2013","82 years","Male",129,
"Timaru District","2013","82 years","Female",153,
"Timaru District","2013","83 years","Male",102,
"Timaru District","2013","83 years","Female",150,
"Timaru District","2013","84 years","Male",108,
"Timaru District","2013","84 years","Female",129,
"Timaru District","2013","85 years","Male",96,
"Timaru District","2013","85 years","Female",123,
"Timaru District","2013","86 years","Male",66,
"Timaru District","2013","86 years","Female",123,
"Timaru District","2013","87 years","Male",51,
"Timaru District","2013","87 years","Female",105,
"Timaru District","2013","88 years","Male",39,
"Timaru District","2013","88 years","Female",99,
"Timaru District","2013","89 years","Male",33,
"Timaru District","2013","89 years","Female",78,
"Timaru District","2013","90 years","Male",27,
"Timaru District","2013","90 years","Female",63,
"Timaru District","2013","91 years","Male",27,
"Timaru District","2013","91 years","Female",63,
"Timaru District","2013","92 years","Male",12,
"Timaru District","2013","92 years","Female",42,
"Timaru District","2013","93 years","Male",12,
"Timaru District","2013","93 years","Female",27,
"Timaru District","2013","94 years","Male",6,
"Timaru District","2013","94 years","Female",30,
"Timaru District","2013","95 years","Male",12,
"Timaru District","2013","95 years","Female",18,
"Timaru District","2013","96 years","Male",6,
"Timaru District","2013","96 years","Female",15,
"Timaru District","2013","97 years","Male",3,
"Timaru District","2013","97 years","Female",9,
"Timaru District","2013","98 years","Male",0,
"Timaru District","2013","98 years","Female",6,
"Timaru District","2013","99 years","Male",3,
"Timaru District","2013","99 years","Female",3,
"Timaru District","2013","100 years","Male",3,
"Timaru District","2013","100 years","Female",3,
"Timaru District","2013","101 years","Male",0,
"Timaru District","2013","101 years","Female",3,
"Timaru District","2013","102 years","Male",0,
"Timaru District","2013","102 years","Female",3,
"Timaru District","2013","103 years","Male",0,
"Timaru District","2013","103 years","Female",0,
"Timaru District","2013","104 years","Male",0,
"Timaru District","2013","104 years","Female",3,
"Timaru District","2013","105 years","Male",0,
"Timaru District","2013","105 years","Female",0,
"Timaru District","2013","106 years","Male",0,
"Timaru District","2013","106 years","Female",0,
"Timaru District","2013","107 years","Male",0,
"Timaru District","2013","107 years","Female",0,
"Timaru District","2013","108 years","Male",0,
"Timaru District","2013","108 years","Female",0,
"Timaru District","2013","109 years","Male",0,
"Timaru District","2013","109 years","Female",0,
"Timaru District","2013","110 years","Male",0,
"Timaru District","2013","110 years","Female",0,
"Timaru District","2013","111 years","Male",0,
"Timaru District","2013","111 years","Female",0,
"Timaru District","2013","112 years","Male",0,
"Timaru District","2013","112 years","Female",0,
"Timaru District","2013","113 years","Male",0,
"Timaru District","2013","113 years","Female",0,
"Timaru District","2013","114 years","Male",0,
"Timaru District","2013","114 years","Female",0,
"Timaru District","2013","115 years","Male",0,
"Timaru District","2013","115 years","Female",0,
"Timaru District","2013","116 years","Male",0,
"Timaru District","2013","116 years","Female",0,
"Timaru District","2013","117 years","Male",0,
"Timaru District","2013","117 years","Female",0,
"Timaru District","2013","118 years","Male",0,
"Timaru District","2013","118 years","Female",0,
"Timaru District","2013","119 years","Male",0,
"Timaru District","2013","120 years and over","Female",0,
"Timaru District","2013","Total people, age group","Male",21336,
"Timaru District","2013","Median age","Male",43.6,
"Timaru District","2013","120 years and over","Male",0,
"Timaru District","2013","119 years","Female",0,
"Timaru District","2013","Total people, age group","Female",22593,
"Timaru District","2013","Median age","Female",45.7,
