Area,Year,Age Group,Sex,Value,Flags
"Canterbury Region","1996","15-19 Years","Male",17490,
"Canterbury Region","2001","15-19 Years","Male",17595,
"Canterbury Region","2006","15-19 Years","Male",19914,
"Canterbury Region","1996","15-19 Years","Female",17175,
"Canterbury Region","2001","15-19 Years","Female",16929,
"Canterbury Region","2006","15-19 Years","Female",18843,
