School ID,School Name,Decile,Type,Authority,Gender,Regional Council,Education Region,TA with Auckland Local Board,Total,Female,Male,M?ori,Pasifika,Asian,MELAA,Other,European/ P?keh?,International fee paying,All Funded,Alternative Education,International fee paying,Secondary-Tertiary programme,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 22+,Level 1,Level 2,Level 3,Level 4a,Level 4b,Level 5,Taha M?ori,None,NZ M?ori,Samoan,Cook Is. M?ori,Tongan,Niue,Fijian,Tokelauan,Other Pacific,Soutth East Asian,Indian,Chinese,Other Asian,Middle Eastern,Latin American,African,Other,NZ European,Other European,International fee Paying
14,Tikipunga High School,2,Secondary (Year 7-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Whangarei District,491,231,260,411,11,1,0,1,67,0,462,1,0,28,0,0,0,0,0,0,52,54,92,92,86,67,48,0,0,0,0,0,0,0,1,41,54,94,85,91,69,39,13,3,1,0,0,0,0,0,0,153,0,309,0,411,2,1,3,0,1,4,0,0,1,0,0,0,0,0,1,64,3,0
15,Whangarei Boys' High School,5,Secondary (Year 9-15),State: Not integrated,Single Sex-Boys,Northland Region,Tai Tokerau,Whangarei District,"1,126",0,"1,126",410,34,55,1,9,601,16,"1,046",0,16,64,0,0,0,0,0,0,0,0,301,273,225,186,135,6,0,0,0,0,0,0,0,0,0,258,274,231,190,143,29,1,0,0,0,0,0,0,5,48,44,184,765,410,7,4,7,1,10,1,4,11,9,14,21,1,0,0,9,524,77,16
16,Whangarei Girls' High School,5,Secondary (Year 9-15),State: Not integrated,Single Sex-Girls,Northland Region,Tai Tokerau,Whangarei District,"1,309","1,309",0,425,23,43,14,0,786,18,"1,276",0,18,15,0,0,0,0,0,0,0,0,331,262,288,228,200,0,0,0,0,0,0,0,0,0,1,288,277,279,242,194,23,3,2,0,0,0,0,0,0,63,25,79,"1,109",425,4,4,2,2,4,0,7,10,8,9,16,2,1,11,0,705,81,18
17,Pompallier Catholic College,7,Secondary (Year 7-15),State: Integrated,Co-Ed,Northland Region,Tai Tokerau,Whangarei District,538,272,266,94,13,37,14,0,371,9,528,1,9,0,0,0,0,0,0,0,65,69,77,96,90,76,65,0,0,0,0,0,0,0,0,58,65,78,87,91,79,66,14,0,0,0,0,0,0,0,0,0,148,0,380,94,2,1,0,2,6,0,2,19,10,6,2,2,1,11,0,313,58,9
18,Mangakahia Area School,3,Composite (Year 1-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Whangarei District,135,69,66,109,0,0,0,0,26,0,135,0,0,0,10,10,8,7,13,7,9,8,18,15,18,7,5,0,0,10,10,8,7,13,7,8,8,18,12,21,8,3,2,0,0,0,0,0,0,0,0,4,49,56,26,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
19,Dargaville High School,3,Secondary (Year 9-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Kaipara District,477,252,225,199,19,10,1,0,246,2,458,7,2,10,0,0,0,0,0,0,0,0,107,111,108,92,59,0,0,0,0,0,0,0,0,0,0,95,104,112,98,58,6,1,1,1,1,0,0,0,0,31,9,0,418,199,3,3,9,0,3,0,1,7,1,1,1,0,0,1,0,229,17,2
20,Bream Bay College,4,Secondary (Year 7-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Whangarei District,430,199,231,151,7,8,7,0,253,4,426,0,4,0,0,0,0,0,0,0,63,79,66,65,70,50,37,0,0,0,0,0,0,0,0,52,78,61,66,75,45,44,8,1,0,0,0,0,18,0,6,34,119,0,249,151,3,1,0,2,0,0,1,1,1,0,6,0,2,5,0,238,15,4
21,Otamatea High School,6,Secondary (Year 7-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Kaipara District,428,216,212,142,20,13,4,1,243,5,400,0,5,23,0,0,0,0,0,0,51,61,71,58,93,51,43,0,0,0,0,0,0,0,0,34,65,67,65,78,66,43,10,0,0,0,0,0,0,0,0,19,99,0,282,142,11,2,0,0,5,0,2,2,1,4,6,0,0,4,1,219,24,5
22,Ruawai College,5,Secondary (Year 7-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Kaipara District,198,108,90,91,1,0,0,1,105,0,198,0,0,0,0,0,0,0,0,0,25,20,39,37,40,20,17,0,0,0,0,0,0,0,0,18,19,40,39,34,28,14,6,0,0,0,0,0,0,0,0,0,57,0,141,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,15,0
23,Rodney College,4,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Rodney,362,185,177,108,7,7,1,6,224,9,353,0,9,0,0,0,0,0,0,0,0,0,83,71,76,85,47,0,0,0,0,0,0,0,0,0,0,78,70,76,81,53,4,0,0,0,0,0,0,0,0,14,0,0,339,108,2,1,0,2,0,0,2,2,1,1,3,0,0,1,6,211,13,9
24,Mahurangi College,8,Secondary (Year 7-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Rodney,"1,318",644,674,154,66,36,31,4,986,41,"1,277",0,41,0,0,0,0,0,0,0,185,246,184,190,200,175,138,0,0,0,0,0,0,0,0,140,241,199,186,195,168,137,46,5,0,1,0,0,0,0,0,6,70,0,"1,201",154,11,3,8,2,0,0,42,13,4,9,10,4,1,26,4,857,129,41
25,Orewa College,9,Secondary (Year 7-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Hibiscus and Bays,"2,017",971,"1,046",215,51,75,3,19,"1,593",61,"1,920",36,61,0,0,0,0,0,0,0,249,251,332,339,292,309,245,0,0,0,0,0,0,0,2,183,262,319,342,319,300,240,47,2,1,0,0,0,0,0,0,65,117,0,"1,738",215,11,12,12,3,10,0,3,21,16,11,27,0,1,2,19,"1,301",292,61
